宝塔,浮图
棋逢敌手,将遇良才
限期,期限
破耗,破钞
比武,交锋
荡瑕涤秽,除污去垢
鬼迷心窍,鬼摸脑壳
结案,了案
偏重,侧重
区别,差别
熟练,谙练
艰苦,艰难
中午,午时
发酒疯,撒酒疯
忧郁,郁闷
堵截,切断
怀疑,嫌疑
宽免,豁免
奉命,受命
双宿双飞,莲开并蒂
阻拦,阻挡
漫不经心,心不在焉
滔滔,滚滚
田野,旷野
再娶,另娶
发现,发明
确切,切当
武备,军备
揭露,揭穿
牧歌,村歌
抑扬,顿挫
葵扇,蒲扇
铁中铮铮,人中表表
龟年,鹤寿
睡衣,寝衣
挺身而出,自告奋勇
勾栏,北里
力不胜任,力难胜任
马贼,胡匪
逊色,减色
细致,过细
多少,若干
广阔,辽阔
歌颂,称颂
粗躯,贱躯
贤能,贤良
鉴定,判定
气鼓鼓,气冲冲
鞭挞,拷打
感愧交集,感愧并交
推辞,辞让
重新,从头
书页,册页
安定,安宁
挑剔,抉剔
趋附者众,如蚁附膻
谷旦,吉日
朝三暮四,反复无常
奉迎,凑趣儿
自满,骄傲
飞短流长,风言风语
种植,莳植
消沉,低沉
定罪,入罪
占据,占领
不服水土,不伏水土
劳驾,光驾
沸水,滚水
不识时变,不识时务
荒原,荒野
叹惋,叹惜
后代,儿女
不落俗套,不落窠臼
渴慕,渴仰
心胸,气度
高视阔步,高视睨步
劳军,犒军
童贞,处女
草纸,厕纸
告竣,达成
根除,肃除
偏向,方向
哭泣,抽泣
替人,替身
搜劫,抄掠
走马看花,浮光掠影
年龄,年齿
借条,借单
体会,体味
狼狈万状,狼狈不堪
耽搁,耽误
引发,激发
告急,求助
淡泊,恬澹
陪衬,烘托
生存,保存
引火烧身,惹火烧身
成规,陋习
陌生,生疏
客居,旅居
特地,特意
别离,分袂
历久,耐久
盗魁,盗首
蜜语,甘言
奸商,市侩
过犹不及,矫枉过正
排泄,分泌
详述,胪陈
每每,往往
戎马,兵马
逾期,过期
刺刺不休,唠唠叨叨
一点不错,分毫不爽
丰产,丰收
放荡,汗漫
坦率,坦白
连续,一连
盛意,盛情
没精打彩,愁眉苦脸
青葱,青翠
年深日久,年湮代远
涕泣,涕零
国蠹,民贼
润泽,滋润
探求,根究
陶然,欢然
残忍,残暴
本相,原形
公子王孙,纨子弟
推心置腹,贴心贴腹
龙脑,冰片
英华,精华
最少,起码
自持,矜持
天愁地惨,鬼哭神号
大略,大概马虎
免却,省掉
冷光,寒光
归罪,归咎
簇集,丛聚
贩卖,销售
刚刚,方才
信誉,诺言
告知,示知
女中豪杰,巾帼须眉
号角,军号
悔恨,痛恨
迟缓,缓慢
地盘,地皮
浑朴,浑厚
不知去向,石沉大海
时势,时局
不唯,不惟
沙哑,嘶哑
穷巷,僻巷
壮大,强大
尾月,腊月
秘密,机要
每每,经常
草帽,凉帽
强壮,强健
作业,功课
年末,岁暮
任意,随便
勤学,好学
窥伺,窥测
系统,体系
彻夜,通宵
谈心,交心
横行霸道,妄作胡为
瓜熟蒂落,顺理成章
流通,畅通
原形,真相
先容,介绍
潜伏,窜伏
保卫,捍卫
只身,单身
笼络,拉拢
谄谀,阿谀
浮皮蹭痒,浮皮潦草
回首,回想
人算不如天算,千算万算，不值天一划
查究,核办
出现,涌现
软梯,绳梯
排泄,渗出
颠三倒四,胡说八道
店铺,商号
痛骂,大骂
犯讳,犯忌
来源,起原
嫡系,直系
着手成春,手到回春
刚强,强项
后代,后裔
亲身,亲自
休息,歇息
南柯一梦,邯郸一梦
跟从,扈从
紧迫,紧急
昔人,古人
复兴,回复
要地本地,内陆
攀援,攀附
盈余,红利
瞌睡,打盹儿
炽热,灼热
交际,社交
漫不经心,不以为意
欠伸,呵欠
狐疑,怀疑
害臊,怕羞
大腹便便,脑满肠肥
奸诈,奸巧
猛然,蓦地
蓦地,忽地
披览,拆阅
声色俱厉,疾言厉色
年近岁终,腊鼓频催
折衷,折中
监禁,禁锢
打水,汲水
青翠,翠绿
登科,及第
达成,告竣
胆战心惊,人心惶惶
自主国,独立国
负气,斗气
摆脱,解脱
传染病,流行症
本末倒置,本末颠倒
递眼色,打眼号
窘迫,拮据
恰巧,刚巧
愤怒,愤慨
碰巧,恰巧
德威并用,剿抚兼施
头角峥嵘,高人一等
自食其力,白手起家
划定,规定
搏斗,格斗
悲叹,叹伤
跬步不离,寸步不离
登科,录取
真话,实话
偷天换日,批红判白
甲板,船面
口供,供词
囚禁,软禁
订盟,缔盟
连续,连气儿
卑鄙,卑劣
奇异,奇怪
母范,母仪
意料,料想
珍惜,珍爱
旗开马到,马到成功
箴言,规语
告诫,警告
歇工,罢工
光亮,光明
火灾,火警
交换,交流
不露神色,不露声色
不辞劳苦,不辞劳怨
谗言,诽语
佳肴,好菜
成名术,登龙术
答应,答理
酷热,炽热
安居乐业,安身立命
巧妙,奇妙
佣钿,回佣
犹如,如同
魂飞天外,魄散九霄
眷属,家属
抖擞,焕发
爽快,爽利
夺取,争取
起家,起身
母舅,娘舅
改扮,乔妆
精粹,精炼
殚精竭虑,殚思极虑
识别,辨认
包括,包孕
酷热,炽烈
顽强,倔强
比翼双飞,琴瑟同谱
急迫,急切
呼喊,呼叫招呼
品味,咀嚼
牵涉,牵扯
胶漆相投,似漆如胶
痛饮,猛饮
来源,起源
表明,讲明
却是,倒是
寂静,沉寂
小巷,冷巷
窃笑,暗笑
居住,栖身
执迷不悟,死心塌地
辨别,分辨
监禁,羁系
应当,应该
主干,骨干
勘误表,刊误表
蓦地,蓦然
腐烂,腐臭
河伯,河神
照例,按例
耻笑,嘲笑
半壁江山,残山剩水
书信,手札
风起云涌,如火如荼
老夫,老汉
挂花,挂彩
冒充,假充
要地本地,腹地
尘务,尘事
便利,方便
叹息,感喟
托钵人,乞丐
衔接,跟尾
同等,一致
齰舌,惊叹
宣扬,鼓吹
潜逃,叛逃
吉祥,吉利
履行,实行
夫役,挑夫
抢夺,掠取
加快,加速
投合,逢迎
锻炼,锤炼
蜗角之争,蛮触之争
动摇,摇动
泄漏,泄露
访拿,跴缉
漫笔,随笔
明目张胆,堂堂皇皇
佳兵不祥,兵凶战危
气愤,愤恚
那边,那儿
转动,滚动
机遇,机会
实物,什物
愁闷,郁悒
牧歌,农歌
敷衍了事,马马虎虎
允承,慨诺
天悬地隔,云泥之别
搭客,乘客
陈规,成规
闭门不出,韬匮藏珠
演练,练习训练
鷽鸠笑鹏,井蛙语海
辅助,帮助
界限,界线
沾恩,受惠
目眩魂摇,目眩神摇
消耗,损耗
反应,反映
格式,格局
夸奖,称赞
满意,合意
有声有色,有条有理
方向,偏向
单元,单位
赤忱,赤心
荒凉,萧疏
怕惧,惊怕
舒怀,开怀
目光,眼光
银号,钱庄
剿除,剿灭
大众文学,民间文学
欢欣鼓舞,兴高采烈
反攻,抨击
洪亮,响亮
付与,赋予
失守,沦陷
含沙射影,拐弯抹角
抽芽,发芽
震动,震撼
轻视,不放在眼里
飞翔,翱翔
登龙术,成名术
包涵,留情
凶服,孝服
风俗,风气
通例,惯例
妙语如珠,妙语连珠
黄昏,傍晚
开发,开辟
师出无名,兵出无名
马队,骑兵
呕吐,吐逆
美梦,好梦
扰乱,捣乱
舌敝唇焦,费尽唇舌
国困民艰,民穷财尽
乞贷,借款
可骇,可怕
枚举,列举
思念,忖量
动听,悦耳
紧要关头,生死关头
清晰,清楚
劣等,下等
摆设,铺排
陈腐,迂腐
操纵,把持
情况,环境
界说,定义
乡间,乡下
叩头,叩首
鄙视,鄙夷
产生,发生
惨白,苍白
乐土,乐园
动辄得咎,跋前踬后
旗手,旗头
军人,武士
穷源竟委,穷源溯流
眉月,初月
扫墓,省墓
很久,好久
揭发,揭露
卓荦不群,超凡入圣
鉴戒,借鉴
肇始,起始
猴子,山公
恐惊,恐惧
估量,估计
涉猎,浏览
盼望,希望
放荡,放纵
镌汰,淘汰
隔膜,隔阂
表明,注解
不断,赓续
迷糊,含混
奸淫,奸通奸骗
辑录,编录
免却,省却
应用,运用
拦阻,阻拦
调换,更调
起用,升引
报酬,待遇
处境尴尬,不上不下
目力,视力
毁灭,扑灭
惶惶,惶遽
复书,回信
利用,应用
面颊,脸颊
本旨,本心
活力,活气
掠夺,抢夺
安顿,安置
焦急,焦心
三回九曲,三回九转
省城,省会
逼真,真切
陈腐,陈旧
朝秦暮楚,朝三暮四
狭小,狭窄
学习,进修
包揽,包办
渎职,失职
牢固,安稳
领导,向导
雪恨,雪耻
方案,计划
和善,驯良
军装,戎服
成群结队,三五成群
洪流,大水
破晓,拂晓
严防,谨防
不光,不但
不知恩义,见利忘义
阅历,经历
丝毫不爽,谬误百出
仍旧,如故
跃跃欲动,见猎心喜
豆乳,豆浆
会合,会集
现在,目前
本末倒置,轻重倒置
灰尘,尘埃
拍门,扣门
卑躬屈膝,奴颜婢色
冲破,打破
难过,难堪
东家,店主
屡见不鲜,司空见惯
逆境,困境
洞穴,洞窟
满堂,举座
别开生面,别出机杼
鸨母,龟婆
脸色,神色
富家,大族
盘旋,回旋
后记,跋文
犬牙交错,错落有致
盘缠,川资
屠戮,屠杀
何堪,那堪
滂沱大雨,倾盆大雨
搭档,同伴
尸位素餐,持禄
鹤寿,龟年
机警,机智
私货,黑货
霸术,权术
乱用,乱花
恩典,恩惠
初月,眉月
掩蔽,遮蔽
习用,惯用
宰衡,首相
不睬,不理
终年,长年
张扬,声张
特地,专程
评断,评议
重病,沉痾
招徕,兜揽
波折,荆棘
寂寥,寥寂
寝室,睡房
聪明,聪慧
攀龙附凤,攀高结贵
充公,没收
宝贝,法宝
此生,今生
暮年,晚年
撒野,撒泼
强暴,强横
他心,贰心
倾诉,倾吐
门路,路线
发起,提议
碰壁,碰鼻
闭口无言,缄口结舌
字迹,笔迹
应有尽有,包罗万象
旧恨,宿恨
瞬间,刹时
便宜,廉价
杂乱,混乱
凡间,尘寰
蜂拥,簇拥
符合,吻合
幻梦,幻境
格式,花式
形格势禁,格于环境
斥骂,诃斥
含垢忍辱,忍辱含垢
喧笑,哗笑
课堂,教室
倾慕,倾心
动身,出发
屏绝,圮绝
故交,故友
前呼后拥,前呼后应
轻忽,忽视
本领,才具
宾客盈庭,三千珠履
不足为奇,多如牛毛
入款,进款
敷衍,塞责
休憩,憩息
灭绝,灭尽
讨厌,厌恶
不停,不绝
瞥见,看见
绍述,继述
缭绕,围绕
机动,灵活
收支,进出
虎将,猛将
情愿,宁愿
订正,校勘
大发雷霆,恼羞成怒
该当,应当
兴废,荣枯
荒谬绝伦,荒诞不经
伏羲,宓羲
阔绰,阔气
莽撞,鲁莽
衰弱,虚弱
党羽,翅膀
舶来品,进口货
连续,继续
下层,基层
后来居上,青出于蓝
照顾,赐顾帮衬
肆虐,残虐
接手,接办
理想,幻想
乡俗,土风
气势派头,风格
保护,掩护
雌雄,牝牡
掩饰,掩盖
不法,犯科
规定,划定
奋发图强,奋发向上
勾通,串连
连合,团结
月下花前,春花秋月
被骗,受愚
稽察,稽查
引诱,引导
绮绮子弟,绮襦纨裤
肩摩踵接,前后相接
接二连三,连续不断
絮聒,唠叨
末端,结尾
保卫,守护
倾吐,倾诉
得当,适合
直率,坦直
负约,误期
昏暗,阴暗
地府,鬼门关
孤苦伶仃,举目无亲
名学,论理学
不见圭角,不露锋芒
停息,暂停
村学,村校
要冲,冲要
养虎遗患,放龙入海
船主,船长
丝毫,涓滴
夫君,男子
空洞,朴陋
苏醒,复苏
摇荡,摇摆
作甚,何为
心神不定,心猿意马
狠毒,恶毒
骄易,轻慢
包孕,包含
暴露无遗,原形毕露
敬佩,佩服
端坐,危坐
淹没消灭,泯没
后代,子女
庸俗,俗气
从古到今,古往今来
黑糊糊,黑压压
弄狗相咬,挑拨是非
丰衣足食,人给家足
寄存,寄放
动身,启碇
旬日,十日
甲鱼,团鱼
假造,捏造
嘹亮,洪亮
官署,官厅
乱说,胡说
雅致,高雅
违逆,忤逆
惩罚,处分
身故,身死
怜惜,珍视
过甚其辞,夸大其词
烹调,烹饪
车费,车资
左券在握,胜券在握
拙荆,山妻
扶引,导引
强词夺理,蛮横无理
情谊,交谊
冒犯,干犯
空洞,浮泛
合力攻敌,戮力同心
金钱万能,钱可通神
爱妾,宠姬
阔气,阔绰
替换,调换
令阃,令正
奔腾,飞跃
负疚,抱歉
烦吵,吵杂
接纳,给与
怀胎,受孕
体制,体系体例
爬下,趴下
充数,凑数
挺秀,挺拔
卖弄,矫饰
犯忌,犯讳
出世,出生避世
摆设,安排
白发银须,庞眉皓发
循规蹈矩,循序渐进
凶悍,凶猛
勤奋,勤劳
酿成,变成
孺慕,渴念
豪华,奢华
堆积,聚积
已往,过去
认贼为子,认敌为友
络绎不绝,继续不停
拥戴,拥护
更名,改名
了案,结案
刹时,瞬间
波折,挫折
弘大,宏大
聪明,伶俐
赏罚,奖惩
料想,意料
利用,行使
蔑视,鄙弃
内涵,内在
凄惨,惨痛
秘密,奥密
浅色,淡色
道听涂说,耳食之闻
笨伯,蠢人
葱翠,苍翠
修改,修正
精致,细腻
薄材,绵力
掳掠,抢劫
败北,战败
奸淫,***
巴结,凑趣
造访,访问
徒然,枉然
以致,乃至
不对,不合错误
吩咐,交托
承情,领情
跌宕放诞,跌荡
民,平易近
法衣,僧衣
简朴,俭朴
停步,留步
毕业,卒业
连忙,急速
浓装艳裹,浓妆艳抹
惩治,惩办
刚强,坚决
急忙,匆促
停止,住手
空前未有,亘古未有
昏暗,晦暗
环球,全球
翘楚,俊彦
邻居,邻人
是非分明,明辨是非
揭发,讦扬
年末,年终
华盖云集,门庭若市
天地,寰宇
阻当,阻梗
等量齐观,一视同仁
说明,解释
漫步,缓步
礼品,礼物
服从,效用
疏忽,忽视
餍足,满足
能够,可以或许
清朗,明朗
骨气,节气
隆然,砰然
评比,评选
顺序,递次
抱头鼠窜,抛戈弃甲
归咎,归罪
死而复活,死去活来
局势,局面
名厨,良庖
弯腰,哈腰
打仗,构兵
吊唁,怀念
公正,公平
浮名,坏话
祈祷,祷告
耳环,耳饰
严酷,严格
贤达,贤能
牢记,服膺
光溜溜,光秃秃
母仪,母范
叫声,啼声
美誉,佳誉
尴尬刁难,作对
憨厚,浑厚
立功,建功
工具,对象
默然,沉默
见面,会晤
函牍,尺牍
悲伤,悲痛
一览无余,一目了然
现在,而今
狐媚,媚惑
昏倒,昏迷
头陀,梵衲
忍受,忍耐
分割,朋分
放下屠刀,痛改前非
吸取,吸收
吃素,茹素
雪中送炭,济困解危
和缓,懈弛
湿润,潮湿
摩拳擦掌,捋臂将拳
高慢,骄横
亡命,流亡
竣事,结束
宁肯,宁可
傲睨万物,傲世轻物
羞耻,耻辱
全能,万能
调皮,狡猾
振臂一呼,登高一呼
合法,正当
木筏,木排
汲水,打水
大喜过望,如获至宝
剖腹藏珠,因噎废食
法则,法例
序次,次序
倘若,倘使
嫡系,嫡派
办理,管理
神色,神情
屏弃,摈弃
拯民水火,解民倒悬
这次,此次
身世,出身
赞赏,赞美
偏差,误差
闻风丧胆,心惊胆战
不好,欠好
废弃,放弃
人老珠黄,老树枯柴
曲岸,曲堤
办法,法子
光复,收复
奢侈,豪侈
搭钮,铰链
非死即伤,不死即伤
通译员,翻译员
宝贵,贵重
风靡云涌,风靡云蒸
挑唆,挑拨
陈列,摆设
私见,偏见
手轻脚健,年轻力壮
毛病,偏差
原谅,谅解
英气,豪气
讨好,奉迎
沐日,假日
宗旨,主旨
凭据,根据
早晨,凌晨
阳关三迭,骊歌高唱
水点,水滴
友爱,和睦
柔美,优美
园地,场地
拖延,稽延
劈面,当面
表明,评释
膏粱子弟,公子哥儿
恶人得势,歹徒横行
推拿,按摩
风帆,帆船
聚精会神,心神专注
行列步队,队列
显现,展现
情形,景遇
省城,省垣
男儿膝下有黄金,男子汉大丈夫
布衣交,贫贱交
强健,健旺
富家,巨室
责怪,指责
腕表,手表
想念,惦念
通畅,畅达
爱才如命,求贤若渴
健壮,硬朗
保镳,警卫
不可胜数,不计其数
稠人广众,大庭广众
大盗,悍贼
军队,部队
宿债,旧债
众口一词,异口同声
批评,攻讦
做官,仕进
肝胆相照,肝胆照人
忸怩,腼腆
好似,恰似
恰到好处,恰如其分
法纪,纲纪
跟随,追随
睥睨,傲视
打量,端详
作歹,作恶
践踏,辚轹
慎重,稳重
抚慰,劝慰
火线,前方
赞颂,赞扬
平坦,平展
宽阔,宽敞
迷恋,贪恋
耗损,耗费
寸阴,寸晷
前车之鉴,前车可鉴
土鸡瓦犬,土牛木马
不食人间烟火,不吃烟火食
快意,称心
填补,弥补
丑恶,丑陋
朝夕,旦夕
底子,根蒂
斗志昂扬,意气风发
光顾,惠顾
温习,复习
怒目,瞋目
周到,周密
狡诈,狡猾
巧言,巧语
告假,请假
阻遏,隔绝
代理,代办署理
口传,口授
羞辱,羞耻
形貌,描述
模样形状,式样
学校,学堂
只管,尽管
等到,比及
余存,孑遗
灯火辉煌,火树银花
更头,更次
抱负,理想
粗鄙,粗俗
干瘪,枯瘠
四面楚歌,八方受敌
不二,不贰
吞吐其词,含混其词
狂奔,疾走
担当,接受
编削,删改
包涵,海涵
分身乏术,分身不暇
费尽心机,想方设法
冒犯,触犯
扣问,询问
尽心尽力,不遗余力
目不识丁,胸无点墨
袒裼裸裎,赤身露体
不落窠臼,不落俗套
四季,四时
命途坎坷,偃蹇困穷
潮水,潮流
建立,创立
容光焕发,精神抖擞
早霞,朝霞
乳臭未干,黄口孺子
鹿车共挽,夫唱妇随
风趣,滑稽
乱闯,乱撞
光秃秃,光溜溜
材艺,材伎
依附,依靠
署名,签名
金灿灿,黄灿灿
真理,真谛
破裂,决裂
保持,坚持
庸庸碌碌,栗六庸才
规则,划定规矩
洁白,皎洁皎洁
漫空,长空
海誓山盟,天长地久
猖狂,猖獗
产品,产物
弊端,毛病
吐故纳新,弃旧容新
修筑,构筑
失信,失约
私家,私人
加入,插手
背道而驰,南辕北辙
冷害,寒害
平明,黎明
安葬,埋葬
跑堂,侍役
刚巧,适值
亲热,激情亲切
九牛一毫,牛之一毛
省得,免得
覆盖,笼罩
经纪,掮客
严格,严厉
单子,票据
屹立,挺立
曲折,弯曲
节制,控制
沙岸,沙滩
吹糠见米,立竿见影
怜爱,垂怜
难过,惆怅
惊动,轰动
指责,求全谴责
布置,安插
录取,登科
对质,对证
光阴,年光
蓬发,蓬葆
活龙活现,活灵活现
未定,不决
改进,改善
小星,细姨
猛火,烈火
移祸,嫁祸
攻克,霸占
惯例,通例
积存,积压
烦闷,纳闷
屁滚尿流,一蹶不振
挺拔,挺立
满目荒凉,十室九空
德律风,电话
对付,对于
平民,布衣
就绪,停当
灭尽,灭绝
尽头,绝顶
不意,不料
善士,慈善家
命根子,命脉
推脱,推诿
到临,光临
焚掠,焚劫
幽美,优美
杂务,琐务
打眼号,递眼色
匠意于心,胸中有数
打消,撤销
省垣,省城
储备,储蓄
看破,看头
千载难逢,千载一时
会合,汇合
特别,希奇
出漏洞,露马脚
仇恨,痛恨
耽搁,耽延
烂帐,漂帐
温和,温顺
计划,设计
明朗,清朗
捷足先登,疾足先得
零散,零星
不相上下,平起平坐
激励,鼓励
德行,德性
一呼百诺,前呼后拥
正是,恰是
决定,决意
冷酷,冷淡
本末倒置,舍本逐末
僻处一方,局促一隅
发达,发财
惠顾,光顾
宠辱祸福,生杀与夺
凝聚,凝集
地理,地舆
克制,制止
蹀躞,踥蹀
取消,撤消
令弟,介弟
内行,熟行
牛山濯濯,草木不生
充裕,富余
好逸恶劳,吊儿郎当
观察,视察
抱头,捧首
稽首,顿首
无能为力,力所不及
谙熟,谙习
彤云,浓云
急变,遽变
谩骂,漫骂
暗杀,暗害
锐意,克意
野蛮,蛮横
迎合,逢迎
赏光,赏脸
希罕,希奇
胜景,名胜
无穷,无限
堆栈,仓库
手刺,名片
兴趣,兴致
半途而废,功败垂成
甜蜜,甜美
显贵,权贵
详目,细目
胆怯,怯怯乔乔
西化,欧化
沧海一粟,九牛一毫
千奇百怪,光怪陆离
无私,忘我
贫苦,清贫
签订,签定
伶俐,聪颖
年华,韶华
恰似,好似
民风,民俗
长空,漫空
鼓动感动,激昂
停业,破产
高兴,欢乐
漠不关心,隔山观虎斗
拌杂,拌合
仲春,二月
长于,擅长
临盆,分娩
恳切,诚心
浑身,满身
古貌古心,古道热肠
高下,高低
充分,充实
为虎傅翼,如虎添翼
歉岁,荒年
时价,时值
招招手,挥挥手
困窘,困顿
巷子,小路
狗洞,狗窦
搭架子,摆架子
支付,付出
扶养,供养
接班,交班
寂静,悄然默默
信念,信心
部下,手下
权柄,权益
显著,明显
怒潮,狂潮
法眼,高眼
宝贝,宝物
普度众生,普济群生
着急,焦急
观点,概念
造诣高深,升堂入室
请假,告假
偷偷的,悄悄的
披头散发,蓬首垢面
铤而走险,官逼民反
返梢,回销
不用,不消
不吝,不惜
仗势欺人,狐假虎威
旅程,路程
下降,降低
诚心,诚恳
憧憬,向往
震撼,震动
荒废,芜秽
跳班,跳级
保护,庇护
陶醉,沉醉
眼珠,眸子
外祸,外患
登山,爬山
漂亮,标致
非凡,不凡
诉苦,抱怨
安若泰山,十拿九稳
豪杰,俊杰
交浅言深,话不投机
大志,弘愿
外交,交际
人中表表,铁中铮铮
乱七八糟,杂乱无章
招展,飘扬
口蜜腹剑,笑里藏刀
花园,花圃
缘故原由,原因
颖悟,颖慧
察言观色,鉴貌辨色
大相径庭,截然不同
随同,伴同
不平,不屈
头脑,脑筋
家徒壁立,四壁萧条
风景,光景
探寻胜迹,访古寻幽
捏词,设辞
得心应手,轻车熟路
深厚,深挚
叱责,斥责
营垒,堡垒
赌气,负气
怜惜,矜恤
适宜,合适
幼子,季子
瓜代,交替
紧张,焦灼
偷盗,偷窃
目录,目次
凡间,尘世
外扬,传扬
缙绅,绅耆
特性,特征
生僻,冷僻
宛转,委宛
明朗,晴明
卓识,卓见
负担,承担
北里,娼寮
时时刻刻,每时每刻
胡作非为,任性妄为
搬家,迁居
镇静,沉着
刻舟求剑,缘木求鱼
征象,现象
单纯,纯真
用心,专心
立地书橱,两脚书橱
民穷财尽,国困民艰
下游,下流
卓越,卓著
心烦意乱,心乱如麻
本年,今年
凝望,凝睇
讨饶,告饶
纸墨笔砚,文房四宝
推行,履行
地震,地动
焦土政策,坚壁清野
大力,鼎力
和睦,良善
猪朋狗友,酒肉朋友
纠正,改正
慌不择路,寒不择衣
吐刚茹柔,欺软怕硬
泼妇,悍妇
失察,失计
鞭挞,扑挞
轻便,简便
诚挚,真挚
兢兢业业,谨小慎微
强健,强壮
出谷迁乔,乔迁之喜
逃出法网,逍遥法外
卤莽,粗莽
滋扰,干扰
口试,面试
磨砺以须,抖擞精神
变化,转变
胆大心小,胆大心细
背面,后头
注意灌输,灌入
病愈,痊愈
准备,筹办
不屈不挠,勇往直前
打顺风锣,打顺风旗
反宾为主,太阿倒持
老衲,老僧
付之一笑,一笑置之
陪同,陪伴
心猿意马,心神恍惚
势如破竹,所向披靡
疏导,劝导
背工,夹帐
片甲不留,屁滚尿流
摇动,动摇
穷乡僻壤,穷山恶水
词藻,词华
刚强,刚烈
胜负,胜败
不对,舛讹
谨小慎微,兢兢业业
发疯,发狂
长处,优点
代价,价格
徘徊,彷徨
形影相随,形影不离
曩昔,以前
尽力,努力
挑水,担水
岁收,岁入
众人,世人
开端,初步
划一,同等
举动,举措
魄力,气魄
强大,壮大
同亲,同乡
考核,审核
挑拨,挑唆
表面,轮廓
大败,大北
作对,尴尬刁难
扼要,简要
池塘,水池
岌岌可危,危如累卵
心肠,心地
边界,鸿沟
检讨,检查
削足就履,截趾适履
削足就履,截趾适屦
颜色,色彩
安定,清闲
讲义,课本
仁慈,善良
薄弱,柔弱虚弱
屠狗之辈,市井之徒
养痈遗患,养痈成患
快意,如意
挥动,挥舞
返国,归国
遇上,赶上
欢喜,欢乐
便条,条子
知己,良知
购买,购置
赤手空拳,手无寸铁
全部,所有
巧计,妙策
流芳百世,千古留名
豆剖瓜分,半壁江山
同心同德,一心一德
庄重,持重
不搭腔,不搭嘴
司理,经理
过甚,过火
宦途,仕途
苛刻,刻薄
互相研究,切磋琢磨
杀鸡取卵,竭泽而渔
帆船,风帆
蛮人,生番
意得志满,踌躇满志
傍友,清客
如法泡制,照猫画虎
从兄弟,堂兄弟
失色,失容
猜疑,怀疑
专程,特地
摸索,探索
富贵荣华,功名利禄
土匪,匪贼
提示,提醒
景况,情状
牢骚,怨言
中怀怨恨,仇隙在心
枷锁,桎梏
贵寓,府上
蕴藏,储藏
凌晨,清晨
马革裹尸,捐躯疆场
丧父,失怙
令正,令阃
面色苍白,面无人色
招待,接待
上将,大将
宅兆,坟墓
发抖,抖动
持志,守志
卫护,戍卫
认敌为友,认贼为子
鼓掌,拍手
朝阳,向阳
落发,削发
中断,间断
孤独,孤苦
愚昧,愚笨
钉扣子,缝扣子
低级,初级
金玉满堂,富可敌国
箕踞,盘蹲
全心全意,一心一意
要害,关键
渺视,傲睨
堪舆术,青鸟术
唯命是听,敬谨如命
冷落,萧瑟
端正,正直
看法,观念
年龄,年岁
恩泽,恩惠膏泽
戏子,伶人
蒙受,承受
赤心,丹心
旷世,绝代
空泛,空洞
拖沓,疲塌
窘境,逆境
州里,乡镇
教练,锻练
目空一切,目中无人
不测,意外
初版,第一版
偏僻,荒僻罕见
狡猾,桀黠
难以想象,不可思议
同谋,合谋
包抄,包围
或谓,或曰
避难,出亡
嬉戏,游玩
比年,近年
本心,本意天良
事变,事情
袈裟,法衣
缜密,周密
奥妙,奇妙
强横,刁悍
大抵,大略
亨衢,通衢
内行,行家
制止,停止
本日,今天
法术,神通
努力,起劲
整日,全日
领域,范畴
文案,案牍
匹俦,佳偶
怜惜,吝惜
运送,输送
奇特,独特
水手,海员
疏散,分散
充实,充分
全部,全体
粉饰,梳妆化妆
三千珠履,宾客盈庭
魁伟,魁梧
饭桶,脓包
各不相犯,互不侵犯
精确,准确
亘古未有,史无前例
高昂,昂扬
构想,构思
急流,激流
不但,不只
熏染,感染
重生,更生
逮捕,拘捕
目指气使,目使颐令
共鸣,共识
奇怪,希奇
打听,探听
弊病,弊端
补偿,赔偿
仿照,模仿
憎恨,仇恨
把守,扼守
发财,发家
空中楼阁,蜃楼海市
打顺风旗,打顺风锣
真相,究竟
敬重,恭敬
旦夕,晨夕
毛病,弊端
散布,分布
邂逅,相逢
徘徊歧路,彷徨歧途
搬动,挪动转移
抹煞,勾消
一个钱打二十四个结,精打细算
骨干,主干
秋扇见捐,蘼芜路断
年事,年龄
客长,客官
秋日,秋天
拜望,探望打听
胜负,输赢
报答,酬谢
看风使舵,见风转舵
锻炼,磨炼
沾光,叨光
包管,保证
弹丸之地,立锥之地
意外,不测
勘察,勘探
比岁不登,比年不登
拙荆,山荆
悲痛,悲哀
归去,回去
空谈,空口说
阻塞,梗阻
国事,国是
开禁,弛禁
拔锚,起锚
吝啬鬼,守财奴
祝融,回禄
小大由之,可大可小
赢利,获利
大材小用,牛鼎烹鸡
恋人,情人
疯狂,猖狂
谍报,情报
古怪,奇异乖张
佃户,田户
本事,本领
株连,连累
清除,断根
张望,观望
泪流满面,泪如泉涌
吉人,吉士
打手式,打手势
不能自已,不能自制
携同,带同
防患未然,及早防备
换衣,更衣
秃笔,拙笔
朋分,瓜分
旧债,宿债
欲盖弥彰,此地无银三百两
剖白,辨白
媚惑,狐媚
六畜,家畜
浓厚,粘稠
切脉,把脉
彤霞,红霞
贿赂,行贿
手脚,四肢举动
抹杀,扼杀
忍让,谦让
雪中送炭,济困扶危
至心,真心
收场,结束
不打不相识,不打不成相与
欢乐,欢欣
油嘴滑舌,油头滑脑
委曲,屈身
激烈,剧烈
朴直,高洁
前言,媒介
掩护,保护
改换,更换
熏风,南风
不露锋芒,不见圭角
聪明一世,聪明一世，胡涂一时
偏重,着重
